"Laps","Time","Cumulative Time","Distance
km","Avg Pace
min/km","Avg GAP
min/km","Avg HR
bpm","Max HR
bpm","Total Ascent
m","Total Descent
m","Avg Power
W","Avg W/kg","Max Power
W","Max W/kg","Avg Run Cadence
spm","Avg Ground Contact Time
ms","Avg GCT Balance
%","Avg Stride Length
m","Avg Vertical Oscillation
cm","Avg Vertical Ratio
%","Calories
C","Avg Temperature","Best Pace
min/km","Max Run Cadence
spm","Moving Time","Avg Moving Pace
min/km"
"1","5:38.8","5:38.8","1.00","5:39","5:43","138","152","1","2","268","4.19","324","5.06","172","254","","1.02","8.8","8.7","58","","5:17","178","5:38.8","5:39"
"2","5:41.6","11:20","1.00","5:42","5:36","157","171","3","1","273","4.27","310","4.84","174","252","","1.03","8.8","8.6","64","","5:22","177","5:41.6","5:42"
"3","5:44.9","17:05","1.00","5:45","5:42","165","167","3","6","266","4.16","279","4.36","173","253","","1.01","8.8","8.7","66","","5:14","177","5:44.9","5:45"
"4","5:48.7","22:54","1.00","5:49","5:47","168","178","1","3","260","4.06","299","4.67","172","254","","1.00","8.6","8.6","68","","5:18","178","5:48.7","5:49"
"5","6:06.0","29:00","1.00","6:06","5:52","167","178","3","1","255","3.98","352","5.50","169","274","","1.00","8.4","8.5","70","","4:37","246","6:06","6:06"
"6","5:28.3","34:28","1.00","5:28","5:35","171","176","0","8","267","4.17","286","4.47","177","246","","1.02","8.5","8.3","64","","5:14","184","5:28","5:28"
"7","6:03.2","40:32","1.00","6:03","5:53","169","179","3","0","256","4.00","363","5.67","170","268","","0.98","8.4","8.6","70","","4:29","182","6:03","6:03"
"8","5:43.6","46:15","1.00","5:44","5:38","172","179","3","5","262","4.09","301","4.70","171","253","","1.02","8.6","8.4","68","","4:57","180","5:43.6","5:44"
"9","6:23.2","52:38","1.00","6:23","6:17","171","178","3","2","239","3.73","280","4.38","167","254","","0.94","8.3","8.8","73","","5:12","181","6:09","6:09"
"10","5:53.7","58:32","1.00","5:54","5:49","173","180","5","1","259","4.05","304","4.75","171","263","","0.99","8.3","8.4","70","","4:53","184","5:53.7","5:54"
"11","0:05.3","58:37","0.02","5:50","5:16","178","178","0","0","278","4.34","281","4.39","181","237","","1.06","8.4","7.9","1","","5:10","181","0:04","4:26"
"Summary","58:37","58:37","10.02","5:51","5:47","165","180","27","30","260","4.06","363","5.67","172","257","","1.00","8.6","8.6","671","","4:29","246","58:21","5:50"